step,q1,q2,cv,q3,ch,mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae,q1_misalign_x,q1_misalign_y,q2_misalign_x,q2_misalign_y,q3_misalign_x,q3_misalign_y
0,10.0,-10.0,0.0,10.0,0.0,0.00041285480256192386,-0.0001844415528466925,-0.0011707161320373416,0.00011004647240042686,0.00018621508206706494,0.4971864999970421,0.0,0.0,0.00041285480256192386,0.0001090026496017555,-8.0018161450847e-05,-0.00012701958715882343,0.00015181805465137486,0.0005000000237487257,0.0005000000237487257
1,0.0007401734422387351,-12.353405736428272,7.771940255355542e-05,-0.14768047652903019,-7.841752654966774e-05,0.00034490006510168314,-0.00022805189655628055,-0.00047092040767893195,0.0005960850394330919,8.454293856630102e-05,0.01908829998865258,0.0,0.0,0.00034490006510168314,0.0001090026496017555,-8.0018161450847e-05,-0.00012701958715882343,0.00015181805465137486,0.0005000000237487257,0.0005000000237487257
2,-0.0003849899930308971,10.694951855100458,6.028597490697632e-05,-0.0010040900923332715,-0.00012017348609944966,0.00026370998239144683,0.00010566812852630392,0.0005598378484137356,0.00012038117711199448,0.00026895286282524467,0.017579499995918013,0.0,0.0,0.00026370998239144683,0.0001090026496017555,-8.0018161450847e-05,-0.00012701958715882343,0.00015181805465137486,0.0005000000237487257,0.0005000000237487257
3,-0.0010057012085977516,13.032209119189764,-0.0001620401166526766,-0.004444587924276028,-0.00019035638412882318,0.000264806323684752,0.00010773867688840255,0.0004564615373965353,0.00018812358030118048,0.00030690155108459294,0.021636199991917238,0.0,0.0,0.00026370998239144683,0.0001090026496017555,-8.0018161450847e-05,-0.00012701958715882343,0.00015181805465137486,0.0005000000237487257,0.0005000000237487257
4,-0.00035396644691923257,9.953173779686141,-2.1843277859966617e-05,-0.0009369237888065516,-3.687763462081581e-05,0.0002330354618607089,0.00013240508269518614,0.00044404342770576477,9.8719923698809e-05,0.0002569733769632876,0.018267500010551885,0.0,0.0,0.0002330354618607089,0.0001090026496017555,-8.0018161450847e-05,-0.00012701958715882343,0.00015181805465137486,0.0005000000237487257,0.0005000000237487257
5,-0.00022127484356465033,2.9104902749051242,0.00014874734752047945,-0.00025079219971801064,0.00010724087205326357,0.00015683044330216944,9.324621350970119e-05,0.00027742102975025773,0.00011133615771541372,0.00014531839406117797,0.01978300001064781,0.0,0.0,0.00015683044330216944,0.0001090026496017555,-8.0018161450847e-05,-0.00012701958715882343,0.00015181805465137486,0.0005000000237487257,0.0005000000237487257
6,-0.0004061026201261497,11.422858073761724,4.5891619697135104e-05,-0.0010700206659727766,-2.881475825872112e-05,0.00029014452593401074,0.00015728618018329144,0.0005809767171740532,0.00014156577526591718,0.00028074937290512025,0.020625599994673394,0.0,0.0,0.00015683044330216944,0.0001090026496017555,-8.0018161450847e-05,-0.00012701958715882343,0.00015181805465137486,0.0005000000237487257,0.0005000000237487257
7,0.0013524241112483097,-8.066362935935643,2.0129533152639607e-05,0.0006235675284918367,5.993336115241643e-06,0.00023537108791060746,-0.00012168955436209217,-0.000344951607985422,0.00045290193520486355,2.19412559090415e-05,0.022681400005239993,0.0,0.0,0.00015683044330216944,0.0001090026496017555,-8.0018161450847e-05,-0.00012701958715882343,0.00015181805465137486,0.0005000000237487257,0.0005000000237487257
8,-0.00037157682206811083,9.891125686151668,1.5324176163535627e-05,-0.0009659159275156301,3.5833376206234365e-05,0.00024860017583705485,0.00016422483895439655,0.0004772997344844043,9.690406295703724e-05,0.0002559720305725932,0.028637600000365637,0.0,0.0,0.00015683044330216944,0.0001090026496017555,-8.0018161450847e-05,-0.00012701958715882343,0.00015181805465137486,0.0005000000237487257,0.0005000000237487257
9,-0.0004265255924674497,13.741457894249468,-7.417317817352694e-05,-0.0012454451902860469,4.104841024955653e-05,0.00033146070200018585,0.00022193757467903197,0.0005767543334513903,0.0002085535234073177,0.0003185973910149187,0.01977699999406468,0.0,0.0,0.00015683044330216944,0.0001090026496017555,-8.0018161450847e-05,-0.00012701958715882343,0.00015181805465137486,0.0005000000237487257,0.0005000000237487257
